=3x2																																																																																									
SYS_VERSION	5																																																																																								
SYS_DATE	06/20/2017																																																																																								
SYS_TIME	14:43:34																																																																																								
=1x2																																																																																									
SYS_WAFERID	1																																																																																								
=137x90																																																																																									
VarName	PM_Die_woCap_Cont_p1p2_Resistor2Terminals_Res	PM_Die_woCap_Cont_p1p3_Resistor2Terminals_Res	PM_Die_woCap_Cont_p2p4_Resistor2Terminals_Res	PM_Die_woCap_Cont_p3p4_Resistor2Terminals_Res	PM_Die_woCap_tRZSiTiSi_tRZSiTiSi05_Resistor2Terminals_Res	PM_Die_woCap_tRZSiTiSi_tRZSiTiSi09_Resistor2Terminals_Res	PM_Die_woCap_tRZpSiTiSi_tRZpSiTiSi05_Resistor2Terminals_Res	PM_Die_woCap_tRZpSiTiSi_tRZpSiTiSi09_Resistor2Terminals_Res	PM_Die_woCap_tRZnSiTiSi_tRZnSiTiSi05_Resistor2Terminals_Res	PM_Die_woCap_tRZnSiTiSi_tRZnSiTiSi09_Resistor2Terminals_Res	PM_Die_woCap_tRZpTiSi_tRZpTiSi05_Resistor2Terminals_Res	PM_Die_woCap_tRZpTiSi_tRZpTiSi09_Resistor2Terminals_Res	PM_Die_woCap_tRZnTiSi_tRZnTiSi05_Resistor2Terminals_Res	PM_Die_woCap_tRZnTiSi_tRZnTiSi09_Resistor2Terminals_Res	PM_Die_woCap_TrAn_TrAn_Vtf_Vt	PM_Die_woCap_TrAn_TrAn_Glk_Gleak	PM_Die_woCap_TrAn_TrAn_Supply_Voltage_DSleak	PM_Die_woCap_TrAn_TrAn_Supply_Voltage_DSw_leak	PM_Die_woCap_TrAn_TrAn_DSdriver_DScurrent	PM_Die_woCap_TrAn_TrAn_DSdriver_DSw_driver	PM_Die_woCap_TrAn_TrAn_revers_Vt	PM_Die_woCap_TrAn_TrAn_Vbreak_Vbr	PM_Die_woCap_TrAp_TrAp_Vtf_Vt	PM_Die_woCap_TrAp_TrAp_DSlk_DSleak	PM_Die_woCap_TrAp_TrAp_DSlk_DSw_leak	PM_Die_woCap_TrAp_TrAp_Glk_Gleak	PM_Die_woCap_TrAp_TrAp_DSdriver_DScurrent	PM_Die_woCap_TrAp_TrAp_DSdriver_DSw_driver	PM_Die_woCap_TrAp_TrAp_Revers_Vt	PM_Die_woCap_TrAp_TrAp_Vbreak_Vbr	PM_Die_woCap_TrRn_TrRn_Vtf_Vt	PM_Die_woCap_TrRn_TrRn_Glk_Gleak	PM_Die_woCap_TrRn_TrRn_Supply_Voltage_DSleak	PM_Die_woCap_TrRn_TrRn_Supply_Voltage_DSw_leak	PM_Die_woCap_TrRn_TrRn_DSdriver_DScurrent	PM_Die_woCap_TrRn_TrRn_DSdriver_DSw_driver	PM_Die_woCap_TrRn_TrRn_revers_Vt	PM_Die_woCap_TrRn_TrRn_Vbreak_Vbr	PM_Die_woCap_TrRp_TrRp_Vtf_Vt	PM_Die_woCap_TrRp_TrRp_DSlk_DSleak	PM_Die_woCap_TrRp_TrRp_DSlk_DSw_leak	PM_Die_woCap_TrRp_TrRp_Glk_Gleak	PM_Die_woCap_TrRp_TrRp_DSdriver_DScurrent	PM_Die_woCap_TrRp_TrRp_DSdriver_DSw_driver	PM_Die_woCap_TrRp_TrRp_Revers_Vt	PM_Die_woCap_TrRp_TrRp_Vbreak_Vbr	PM_Die_woCap_TrHn_TrHn_Vtf_Vt	PM_Die_woCap_TrHn_TrHn_Glk_Gleak	PM_Die_woCap_TrHn_TrHn_Supply_Voltage_DSleak	PM_Die_woCap_TrHn_TrHn_Supply_Voltage_DSw_leak	PM_Die_woCap_TrHn_TrHn_DSdriver_DScurrent	PM_Die_woCap_TrHn_TrHn_DSdriver_DSw_driver	PM_Die_woCap_TrHn_TrHn_revers_Vt	PM_Die_woCap_TrHn_TrHn_Vbreak_Vbr	PM_Die_woCap_TrHp_TrHp_Vtf_Vt	PM_Die_woCap_TrHp_TrHp_DSlk_DSleak	PM_Die_woCap_TrHp_TrHp_DSlk_DSw_leak	PM_Die_woCap_TrHp_TrHp_Glk_Gleak	PM_Die_woCap_TrHp_TrHp_DSdriver_DScurrent	PM_Die_woCap_TrHp_TrHp_DSdriver_DSw_driver	PM_Die_woCap_TrHp_TrHp_Revers_Vt	PM_Die_woCap_TrHp_TrHp_Vbreak_Vbr	PM_Die_woCap_KLV_M1M2_KLV_M1_M2_KelvinMeasurement_Res	PM_Die_woCap_KLV_M1M2_KLV_M1_M2_KLVForceI_Res	PM_Die_woCap_KLV_M2M3_KLV_M2_M3_KelvinMeasurement_Res	PM_Die_woCap_KLV_M3M4_KLV_M3_M4_KelvinMeasurement_Res	PM_Die_woCap_KLV_M1M4_KLV_M1_M4_KelvinMeasurement_Res	PM_Die_woCap_KLV_nM1_KLV_nM1_KelvinMeasurement_Res	PM_Die_woCap_KLV_pM1_KLV_pM1_KelvinMeasurement_Res	PM_Die_woCap_KLV_nSiM1_KLV_nSiM1_KelvinMeasurement_Res	PM_Die_woCap_KLV_pSiM1_KLV_pSiM1_KelvinMeasurement_Res	PM_Die_woCap_KLV_SiM1_KLV_SiM1_KelvinMeasurement_Res	PM_Die_woCap_Z_M1M2_M1M4_dZ_M1M2_Resistor2Terminals_Res	PM_Die_woCap_Z_M1M2_M1M4_dZ_M1M4_Resistor2Terminals_Res	PM_Die_woCap_Z_M2M3_M3M4_dZ_M2M3_Resistor2Terminals_Res	PM_Die_woCap_Z_M2M3_M3M4_dZ_M3M4_Resistor2Terminals_Res	PM_Die_woCap_tRm24_09_dMeander2_09_Resistor2Terminals_Res	PM_Die_woCap_tRm24_09_dMeander4_09_Resistor2Terminals_Res	PM_Die_woCap_tRm24_dMeander2_Resistor2Terminals_Res	PM_Die_woCap_tRm24_dMeander4_Resistor2Terminals_Res	PM_Die_woCap_tRm13_09_dMeander1_09_Resistor2Terminals_Res	PM_Die_woCap_tRm13_09_dMeander3_09_Resistor2Terminals_Res	PM_Die_woCap_tRm13_dMeander1_Resistor2Terminals_Res	PM_Die_woCap_tRm13_dMeander3_Resistor2Terminals_Res	PM_Die_woCap_ZnpM1_dZnM1_Resistor2Terminals_Res	PM_Die_woCap_ZnpM1_dZpM1_Resistor2Terminals_Res	PM_Die_woCap_ZnpSiM1_dZnSiM1_Resistor2Terminals_Res	PM_Die_woCap_ZnpSiM1_dZpSiM1_Resistor2Terminals_Res	PM_Die_woCap_ZSiM1_dZSiM1_Resistor2Terminals_Res
DieName	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap	PM_Die_woCap
ModName	Cont	Cont	Cont	Cont	tRZSiTiSi	tRZSiTiSi	tRZpSiTiSi	tRZpSiTiSi	tRZnSiTiSi	tRZnSiTiSi	tRZpTiSi	tRZpTiSi	tRZnTiSi	tRZnTiSi	TrAn	TrAn	TrAn	TrAn	TrAn	TrAn	TrAn	TrAn	TrAp	TrAp	TrAp	TrAp	TrAp	TrAp	TrAp	TrAp	TrRn	TrRn	TrRn	TrRn	TrRn	TrRn	TrRn	TrRn	TrRp	TrRp	TrRp	TrRp	TrRp	TrRp	TrRp	TrRp	TrHn	TrHn	TrHn	TrHn	TrHn	TrHn	TrHn	TrHn	TrHp	TrHp	TrHp	TrHp	TrHp	TrHp	TrHp	TrHp	KLV_M1M2	KLV_M1M2	KLV_M2M3	KLV_M3M4	KLV_M1M4	KLV_nM1	KLV_pM1	KLV_nSiM1	KLV_pSiM1	KLV_SiM1	Z_M1M2_M1M4	Z_M1M2_M1M4	Z_M2M3_M3M4	Z_M2M3_M3M4	tRm24_09	tRm24_09	tRm24	tRm24	tRm13_09	tRm13_09	tRm13	tRm13	ZnpM1	ZnpM1	ZnpSiM1	ZnpSiM1	ZSiM1
DevName	p1p2	p1p3	p2p4	p3p4	tRZSiTiSi05	tRZSiTiSi09	tRZpSiTiSi05	tRZpSiTiSi09	tRZnSiTiSi05	tRZnSiTiSi09	tRZpTiSi05	tRZpTiSi09	tRZnTiSi05	tRZnTiSi09	TrAn	TrAn	TrAn	TrAn	TrAn	TrAn	TrAn	TrAn	TrAp	TrAp	TrAp	TrAp	TrAp	TrAp	TrAp	TrAp	TrRn	TrRn	TrRn	TrRn	TrRn	TrRn	TrRn	TrRn	TrRp	TrRp	TrRp	TrRp	TrRp	TrRp	TrRp	TrRp	TrHn	TrHn	TrHn	TrHn	TrHn	TrHn	TrHn	TrHn	TrHp	TrHp	TrHp	TrHp	TrHp	TrHp	TrHp	TrHp	KLV_M1_M2	KLV_M1_M2	KLV_M2_M3	KLV_M3_M4	KLV_M1_M4	KLV_nM1	KLV_pM1	KLV_nSiM1	KLV_pSiM1	KLV_SiM1	dZ_M1M2	dZ_M1M4	dZ_M2M3	dZ_M3M4	dMeander2_09	dMeander4_09	dMeander2	dMeander4	dMeander1_09	dMeander3_09	dMeander1	dMeander3	dZnM1	dZpM1	dZnSiM1	dZpSiM1	dZSiM1
AlgName	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Vtf	Glk	Supply_Voltage	Supply_Voltage	DSdriver	DSdriver	revers	Vbreak	Vtf	DSlk	DSlk	Glk	DSdriver	DSdriver	Revers	Vbreak	Vtf	Glk	Supply_Voltage	Supply_Voltage	DSdriver	DSdriver	revers	Vbreak	Vtf	DSlk	DSlk	Glk	DSdriver	DSdriver	Revers	Vbreak	Vtf	Glk	Supply_Voltage	Supply_Voltage	DSdriver	DSdriver	revers	Vbreak	Vtf	DSlk	DSlk	Glk	DSdriver	DSdriver	Revers	Vbreak	KelvinMeasurement	KLVForceI	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals
AlgOrgName	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Vtf	Glk	DSlk	DSlk	DSdriver	DSdriver	Vtf	Vbreak	Vtf	DSlk	DSlk	Glk	DSdriver	DSdriver	Vtf	Vbreak	Vtf	Glk	DSlk	DSlk	DSdriver	DSdriver	Vtf	Vbreak	Vtf	DSlk	DSlk	Glk	DSdriver	DSdriver	Vtf	Vbreak	Vtf	Glk	DSlk	DSlk	DSdriver	DSdriver	Vtf	Vbreak	Vtf	DSlk	DSlk	Glk	DSdriver	DSdriver	Vtf	Vbreak	KelvinMeasurement	KLVForceI	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	KelvinMeasurement	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals	Resistor2Terminals
ParName	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Vt	Gleak	DSleak	DSw_leak	DScurrent	DSw_driver	Vt	Vbr	Vt	DSleak	DSw_leak	Gleak	DScurrent	DSw_driver	Vt	Vbr	Vt	Gleak	DSleak	DSw_leak	DScurrent	DSw_driver	Vt	Vbr	Vt	DSleak	DSw_leak	Gleak	DScurrent	DSw_driver	Vt	Vbr	Vt	Gleak	DSleak	DSw_leak	DScurrent	DSw_driver	Vt	Vbr	Vt	DSleak	DSw_leak	Gleak	DScurrent	DSw_driver	Vt	Vbr	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res	Res
+d:5																																																																																									
Sqr	1	1	1	1	100	100	100	100	100	100	100	100	100	100																																																	1	1	1	1	1	1	1	1	1	1	1000	1000	1000	1000	5000	5000	5000	5000	5000	5000	5000	5000	1000	1000	1000	1000	5000
Width															+3.500000E+00	+1.000000E+01	+6.000000E+00	+6.000000E+00	+3.500000E+00	+3.500000E+00	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E+00	+6.000000E+00	+1.000000E+01	+3.500000E+00	+3.500000E+00	+1.000000E+01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E+00	+6.000000E+00	+3.500000E+00	+3.500000E+00	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E+00	+6.000000E+00	+1.000000E+01	+3.500000E+00	+3.500000E+00	+1.000000E+01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E+00	+6.000000E+00	+3.500000E+00	+3.500000E+00	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E+00	+6.000000E+00	+1.000000E+01	+3.500000E+00	+3.500000E+00	+1.000000E+01	+1.000000E+01																											
Length															+3.500000E-01	+1.000000E+01	+6.000000E-01	+6.000000E-01	+3.500000E-01	+3.500000E-01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E-01	+6.000000E-01	+1.000000E+01	+3.500000E-01	+3.500000E-01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E-01	+6.000000E-01	+3.500000E-01	+3.500000E-01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E-01	+6.000000E-01	+1.000000E+01	+3.500000E-01	+3.500000E-01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E-01	+6.000000E-01	+3.500000E-01	+3.500000E-01	+1.000000E+01	+1.000000E+01	+1.000000E+01	+6.000000E-01	+6.000000E-01	+1.000000E+01	+3.500000E-01	+3.500000E-01	+1.000000E+01	+1.000000E+01																											
